;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;id;duration_ms
0;0.534;0.969;-3.378;0.0535;0.000359;0.564;0.269;0.598;75.005;3iUJrkMilUVkUKtYZK7Th4;376920
1;0.379;0.941;-10.443;0.038;0.000869;0.000637;0.0393;0.527;105.155;1fcyfC1KLSWVCIvALR5AxS;341333
2;0.262;0.988;-4.939;0.117;1.63e-05;0.733;0.21;0.259;113.663;3lMVtX2zN22nm30jGVoOpT;365320
3;0.326;0.995;-4.38;0.147;9.41e-05;0.386;0.145;0.092;105.459;5ohfpKB5tt275f4Y4lQ9F7;291773
4;0.357;0.905;-7.787;0.0523;0.00395;0.000417;0.375;0.546;81.294;5gnjaZqOaqE5GZKjby8KoT;330227
5;0.481;0.928;-8.799;0.0672;0.00022;0.558;0.106;0.427;96.699;6UB9mShVLbMm0W4e6vud4C;312360
6;0.365;0.978;-6.314;0.0698;0.00016;0.00241;0.206;0.108;101.886;153SwL1d9SfCLWhqIs08we;301053
7;0.519;0.982;-3.547;0.108;0.00203;0.00055;0.0971;0.361;97.745;4E5xVW505akJX0wcKj8Mpd;319267
8;0.43;0.704;-8.008;0.0804;0.000155;0.00221;0.0933;0.703;118.242;7fcfNW0XxTWlwVlftzfDOR;315120
9;0.332;0.988;-4.111;0.146;7.65e-05;0.0126;0.055;0.097;98.878;1E0yt5XSdjE9NOu897RilW;291733
10;0.419;0.996;-3.052;0.0713;1.36e-06;0.837;0.164;0.598;96.528;73aAzcYZyjTkaWNzDWYwYI;225267
11;0.53;0.99;-4.676;0.084;0.000968;0.0259;0.0626;0.582;148.524;2SA2tTWoELC0ciMuYRfbpT;221640
12;0.159;0.997;-5.872;0.162;5.62e-06;0.871;0.503;0.0867;121.696;1eLIcEV7Tzq33BhTo3wFeH;164977
13;0.39;0.967;-3.619;0.0625;4.45e-06;0.0591;0.608;0.416;177.041;5otXJIeiF43SPz7R7ov8GX;238813
14;0.324;0.977;-4.963;0.0913;3.24e-05;0.0101;0.0888;0.438;198.97;0mIUS9GApGWW8wGxNI0CPE;449787
15;0.384;0.938;-3.735;0.0857;0.00147;0.00283;0.403;0.571;80.073;3hjYJacwWN0dmDi3nBGgs7;177547
16;0.272;0.958;-10.797;0.381;0.00195;4.63e-05;0.0915;0.0382;136.867;203xxdlledLFnkqrUleD72;348093
17;0.231;0.988;-6.128;0.215;3.51e-05;0.248;0.0613;0.3;174.865;4SNmIjbSWwYlqB6HV3GiFp;306453
18;0.484;0.991;-4.028;0.0676;0.000289;0.657;0.359;0.559;167.035;1kbwEcixFWVj5dFO9Kso3J;225245
19;0.48;0.997;-2.344;0.171;0.000139;0.00166;0.148;0.26;110.055;32nyTlFUKXyAXSwq5xagd8;205160
20;0.445;0.964;-5.493;0.282;0.037;0.0132;0.0773;0.448;140.817;28WmNsclKsrVmdv3tDmoYU;414720
