;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;key;mode;id
0;0.347;0.119;-22.235;0.0349;0.985;0.888;0.104;0.0588;93.25;235947;0;0;5sXmpfO6iopymbAPkpXZw8
1;0.238;0.091;-23.608;0.0383;0.982;0.947;0.123;0.0374;130.833;824733;5;1;2ftHpReHQLPrCfR6ZCmXub
2;0.421;0.531;-13.432;0.0504;0.619;0.667;0.315;0.18;99.544;359507;9;0;2ThXlHa71fMSsTinfTG0jr
3;0.427;0.372;-13.851;0.0329;0.989;0.909;0.0966;0.185;124.988;192000;10;0;2A2jMfCKlOMmchKuDgSJ2v
4;0.451;0.126;-25.683;0.0355;0.976;0.925;0.0866;0.0321;114.977;267279;0;0;5NKvtYduV8ZAgdHQMYUzoW
5;0.125;0.0885;-21.045;0.0375;0.972;0.77;0.0837;0.067;96.102;460360;10;1;3m1naEMJuRk6KXubOfcBjJ
6;0.542;0.566;-11.721;0.0293;0.701;0.0113;0.172;0.754;94.601;364573;3;1;0i68Yl4gSwpxtMsYPXvsZE
7;0.126;0.0585;-19.722;0.0402;0.936;0.929;0.0979;0.0704;71.019;441200;10;1;17Ymh369W4qCPXYzndYurO
8;0.456;0.12;-23.206;0.0366;0.98;0.937;0.107;0.145;135.213;357600;3;1;6nXArMkjtAdWNGr0jEUH5E
9;0.17;0.0479;-27.021;0.0438;0.981;0.906;0.0795;0.0304;75.664;428153;2;1;4JOEMgLkrHp8K1XNmyNffH
10;0.525;0.144;-22.617;0.0349;0.984;0.89;0.186;0.321;115.509;429933;8;1;4A1VmZQ2rdCS07En1TLDNb
11;0.128;0.112;-19.278;0.0408;0.797;0.252;0.125;0.0326;91.142;1003773;9;0;1KTB7peUONAXQQ0hhaW9fO
12;0.0632;0.0765;-19.785;0.0433;0.889;0.473;0.109;0.028;69.684;567987;10;0;4iCn374fZg5UbGD1xFNo1m
13;0.125;0.031;-24.473;0.0453;0.939;0.864;0.1;0.0309;80.016;600000;10;0;0UQ8gHACQG3LyPTAG3xKa4
14;0.0619;0.0419;-25.051;0.0394;0.188;0.787;0.109;0.0317;64.284;614333;2;0;0iCBry8uGq4XL48x76b2EQ
15;0.159;0.0444;-28.188;0.0458;0.985;0.792;0.295;0.104;107.413;300427;7;0;56OAZGCdRQlPAJjTkGaWtn
16;0.102;0.231;-15.69;0.0384;0.647;0.659;0.123;0.0345;89.884;228640;9;1;1CkPLdlBRtTaCaTVgDfpGV
17;0.108;0.196;-17.008;0.0344;0.953;0.948;0.0431;0.0381;72.468;768640;7;1;3SRqUYfMhO2V7d8XJHrfP8
18;0.356;0.446;-12.1;0.0433;0.243;0.219;0.229;0.0712;117.374;382880;0;1;6tHPSEdxp6g2Ntur8nANYt
19;0.163;0.047;-24.975;0.0344;0.938;0.955;0.14;0.0389;85.607;261480;3;0;5mjfIZabc3GGbIYtBa6VEw
20;0.209;0.126;-21.861;0.0393;0.706;0.551;0.142;0.14;133.262;289320;7;0;0v1KWAMuGxjiqzlx32s7GZ
