danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;key;mode;id;cluster
0.534;0.969;-3.378;0.0535;0.000359;0.564;0.269;0.598;75.005;376920;3;1;3iUJrkMilUVkUKtYZK7Th4;27
0.379;0.941;-10.443;0.038;0.000869;0.000637;0.0393;0.527;105.155;341333;11;0;1fcyfC1KLSWVCIvALR5AxS;61
0.262;0.988;-4.939;0.117;1.63e-05;0.733;0.21;0.259;113.663;365320;4;0;3lMVtX2zN22nm30jGVoOpT;8
0.326;0.995;-4.38;0.147;9.41e-05;0.386;0.145;0.092;105.459;291773;1;1;5ohfpKB5tt275f4Y4lQ9F7;29
0.357;0.905;-7.787;0.0523;0.00395;0.000417;0.375;0.546;81.294;330227;1;1;5gnjaZqOaqE5GZKjby8KoT;80
0.481;0.928;-8.799;0.0672;0.00022;0.558;0.106;0.427;96.699;312360;11;0;6UB9mShVLbMm0W4e6vud4C;8
0.365;0.978;-6.314;0.0698;0.00016;0.00241;0.206;0.108;101.886;301053;9;1;153SwL1d9SfCLWhqIs08we;29
0.519;0.982;-3.547;0.108;0.00203;0.00055;0.0971;0.361;97.745;319267;7;1;4E5xVW505akJX0wcKj8Mpd;29
0.43;0.704;-8.008;0.0804;0.000155;0.00221;0.0933;0.703;118.242;315120;1;0;7fcfNW0XxTWlwVlftzfDOR;61
0.332;0.988;-4.111;0.146;7.65e-05;0.0126;0.055;0.097;98.878;291733;8;1;1E0yt5XSdjE9NOu897RilW;29
0.419;0.996;-3.052;0.0713;1.36e-06;0.837;0.164;0.598;96.528;225267;2;1;73aAzcYZyjTkaWNzDWYwYI;8
0.53;0.99;-4.676;0.084;0.000968;0.0259;0.0626;0.582;148.524;221640;0;1;2SA2tTWoELC0ciMuYRfbpT;68
0.159;0.997;-5.872;0.162;5.62e-06;0.871;0.503;0.0867;121.696;164977;1;1;1eLIcEV7Tzq33BhTo3wFeH;47
0.39;0.967;-3.619;0.0625;4.45e-06;0.0591;0.608;0.416;177.041;238813;9;1;5otXJIeiF43SPz7R7ov8GX;62
0.324;0.977;-4.963;0.0913;3.24e-05;0.0101;0.0888;0.438;198.97;449787;4;0;0mIUS9GApGWW8wGxNI0CPE;11
0.384;0.938;-3.735;0.0857;0.00147;0.00283;0.403;0.571;80.073;177547;11;1;3hjYJacwWN0dmDi3nBGgs7;80
0.272;0.958;-10.797;0.381;0.00195;4.63e-05;0.0915;0.0382;136.867;348093;0;1;203xxdlledLFnkqrUleD72;4
0.231;0.988;-6.128;0.215;3.51e-05;0.248;0.0613;0.3;174.865;306453;11;1;4SNmIjbSWwYlqB6HV3GiFp;11
0.484;0.991;-4.028;0.0676;0.000289;0.657;0.359;0.559;167.035;225245;8;0;1kbwEcixFWVj5dFO9Kso3J;75
0.48;0.997;-2.344;0.171;0.000139;0.00166;0.148;0.26;110.055;205160;0;1;32nyTlFUKXyAXSwq5xagd8;29
0.445;0.964;-5.493;0.282;0.037;0.0132;0.0773;0.448;140.817;414720;9;1;28WmNsclKsrVmdv3tDmoYU;4
0.318;0.963;-4.878;0.176;0.000182;0.387;0.344;0.358;102.225;280400;7;1;0cjd7hXm53E1xAJsIYcSJN;80
0.374;0.984;-3.434;0.174;4.38e-05;0.448;0.124;0.171;175.001;349387;0;1;01zm9AlUjboMitrlL3oVAz;11
0.262;0.988;-4.922;0.253;0.00655;0.897;0.132;0.227;91.319;290280;11;0;5ZOOjqoCaUydmo8bxSdosj;8
0.265;0.941;-6.569;0.18;1.64e-05;0.0342;0.313;0.331;126.622;248766;11;0;5PFhkQbjJge1h8k7wE1K5U;59
0.51;0.911;-5.048;0.0361;0.000276;0.072;0.138;0.558;140.053;291960;10;1;7jkdjLkhSQRcVA3lsnTClQ;61
0.278;0.973;-6.955;0.147;0.000314;0.00524;0.113;0.0401;109.772;296080;7;1;0EgTx5vEIxipAKw9mDMjDw;29
0.329;0.989;-4.603;0.0941;0.00141;0.00471;0.0353;0.253;152.456;353973;11;0;1dWs9fKUnDbW1vkkM5Votu;11
0.22;0.982;-3.912;0.121;5.85e-05;0.289;0.661;0.241;171.928;279811;4;1;12twP0oGdOTzmxLd0CoGs3;62
0.295;0.991;-3.082;0.1;1.7e-06;0.688;0.093;0.469;100.939;315067;2;1;1VHQF5TWJ8i0KCsMLhOaNI;8
0.483;0.993;-3.244;0.122;0.000151;0.131;0.173;0.0653;104.018;189360;4;1;3ghhd7sdIcWrWL4yeYc81Q;29
0.23;0.996;-4.308;0.0878;0.108;0.927;0.129;0.0332;100.892;198960;8;1;4uOq76srFzt94o98QrCVRO;8
0.476;0.994;-3.19;0.175;0.000247;0.152;0.0793;0.126;92.865;353133;10;0;4WFYHBYhFA6tmCRYKng2MB;29
0.24;0.906;-12.061;0.0505;0.00753;0.0157;0.112;0.259;100.525;261627;9;0;4ZpdPN4kkSoc7eEnMTTv74;29
0.415;0.908;-9.701;0.0765;0.00437;0.0345;0.082;0.437;114.816;243533;2;1;2SgbR6ttzoNlCRGQOKjrop;61
0.248;0.988;-3.74;0.144;5.87e-05;0.84;0.323;0.149;115.301;311200;2;1;6b6uLZsoGhObYexIxnRbIb;47
0.358;0.804;-8.534;0.302;0.0404;0.0;0.111;0.625;91.842;229960;0;1;7G83ZwD2msTtFaBQExc8QB;25
0.267;0.982;-5.72;0.123;5.09e-06;0.712;0.147;0.228;142.271;337787;6;1;1KxBpjZAxjjO0XUjgEUR26;67
0.424;0.989;-4.662;0.164;9.7e-06;0.576;0.105;0.185;179.997;342280;11;1;7KmMhTk07elK9dxu49Owi2;34
0.55;0.977;-4.866;0.0597;1.72e-05;0.0761;0.262;0.359;104.974;264600;2;1;2tBN9R7EjyWZSWeMSzbqTy;80
0.255;0.904;-6.841;0.0968;7.01e-06;0.104;0.285;0.388;175.049;206933;10;0;2NsrYs5oiRWd7Z9ncZ7rtI;11
0.493;0.948;-5.75;0.0979;0.000122;0.0433;0.202;0.444;105.946;231453;1;1;619ndPjpEBrx82WRSa6iGK;61
0.339;0.797;-14.833;0.0647;9.3e-05;0.202;0.0806;0.427;116.388;309800;6;0;3XEaGlmQ7liOGOYSGzMdhP;61
0.526;0.994;-4.676;0.189;0.000378;0.122;0.0898;0.142;96.002;270920;10;0;6A00Xnn0qg12xjEzCLY22O;29
0.339;0.991;-5.028;0.145;0.000249;0.00327;0.261;0.185;106.767;300093;2;1;0c6p9QomOhNU9uzujLjtsD;29
0.61;0.891;-5.452;0.0587;0.000805;0.0928;0.0657;0.51;139.903;246733;4;0;51TG9W3y9qyO8BY5RXKgnZ;2
0.419;0.878;-6.352;0.0553;0.000594;0.559;0.139;0.666;147.385;264800;7;1;2M5WTwqnkyz7bW6P1CiD6q;17
0.4;0.994;-7.34;0.0625;3.65e-05;0.097;0.145;0.253;104.134;199867;8;0;6W2KBpMMXW17r7dPyqi8Iu;29
0.307;0.934;-10.967;0.0995;8.11e-06;0.842;0.37;0.176;156.83;192867;7;1;3HlnQdKyjxZaUs95cLGOKh;47
0.224;0.938;-6.907;0.408;0.00157;0.0765;0.106;0.327;203.79;432547;0;1;2YTwVDQOSGclX2N3AKetOP;4
0.504;0.856;-6.271;0.0423;0.000748;0.359;0.114;0.585;95.402;347440;7;1;5SAEMjVQbmin3g7b0RG6me;61
0.43;0.96;-5.08;0.0484;0.000121;0.0985;0.0915;0.421;129.7;261227;6;0;62P3ZvDY8b1P6B6LeCwWYW;61
0.302;0.805;-11.395;0.0967;0.000849;4.19e-06;0.151;0.578;112.766;275387;6;0;6lWFQo5NuR3y8Q6CHIRatA;61
0.552;0.986;-3.265;0.176;0.000112;0.888;0.314;0.328;104.032;210288;1;0;6K4sl3JE7oeuUhDJvy9ku3;47
0.187;0.914;-9.373;0.228;0.00019;0.426;0.285;0.225;195.604;162360;7;1;77Iw0LG356gd4CF5tCcGNj;11
0.128;0.991;-3.289;0.0582;1.11e-05;0.00362;0.219;0.53;186.124;189347;11;1;10qHfyQqzsbBDwob8nk8Ol;11
0.234;0.995;-5.291;0.0775;0.00028;0.0333;0.103;0.297;187.941;297293;11;0;1KmX2Q8IwwLY2AMIMOmYlw;11
0.182;0.96;-6.098;0.398;0.00015;7.52e-06;0.18;0.246;157.106;224067;4;0;2riiohLaKgMFlu4RQT1MPV;4
0.145;0.988;-3.131;0.0834;4.68e-06;0.00755;0.293;0.215;187.877;263533;1;1;77xmDupCWuKQ9lz8hSUszC;11
0.26;0.998;-2.844;0.16;0.000728;0.0187;0.141;0.447;194.788;129387;4;1;5szz2njh6khJU22vh4dAz0;11
0.548;0.972;-3.271;0.0491;1.38e-05;0.34;0.325;0.429;103.996;267200;10;0;0ZvhRWvON9PFhIKwtZWDNB;80
0.307;0.947;-6.429;0.0489;3.44e-05;0.931;0.152;0.276;140.902;289133;2;1;6z8KgGwhwJPSq948Vk3mWk;67
0.395;0.995;-4.639;0.13;0.000251;0.0109;0.275;0.0459;105.694;143000;10;0;7kyKKdXsCFNPmH7xq5nLBl;29
0.486;0.971;-4.225;0.156;0.000788;0.00266;0.614;0.344;170.046;176413;11;0;2fKHYIAsVMKrGSqKBPKCZu;62
0.475;0.953;-6.951;0.15;0.000291;0.00338;0.104;0.232;118.033;199227;2;1;2OoS1aZFAFscH1cUiKlazH;29
0.406;0.98;-5.469;0.0889;5.5e-05;0.0501;0.255;0.469;173.026;284700;0;1;12nKXNhjAh7nlvhnqixUPH;46
0.32;0.967;-7.045;0.096;0.000404;4.32e-06;0.292;0.365;100.268;391120;4;0;5NYPbGc1NvNlvBAv5m4lpl;80
0.408;0.993;-5.386;0.213;4.12e-06;0.78;0.316;0.217;175.0;236893;4;0;4IOi7IORghPMhRPpjkU0cP;75
0.475;0.942;-4.287;0.139;0.00141;0.0797;0.0939;0.178;80.356;255400;1;0;1k5Jr3Ir3tXJLrI5ZsJ0fo;29
0.325;0.996;-2.95;0.096;1.99e-05;0.0389;0.186;0.354;120.013;301040;5;0;5bKD8llj8BPQ3GJ7QckFJn;29
0.175;0.969;-4.496;0.0877;0.000458;0.0853;0.0889;0.295;192.481;278381;1;1;1VAr5YFV3UF3eWmbhYQMqF;11
0.326;0.998;-3.095;0.0993;0.00205;5.14e-05;0.364;0.471;101.862;123987;0;1;1jMjbrmkSZAVvi7iffs06D;80
0.256;0.992;-4.505;0.136;8.41e-06;0.27;0.096;0.144;101.895;279373;8;1;04FfBJZBfU0UR5uqR4CJAD;29
0.379;0.808;-8.605;0.0684;5.23e-05;0.794;0.322;0.557;138.694;339880;4;1;6XN00D9ejjEt1cW1sY44Gu;27
0.285;0.977;-4.443;0.195;3.19e-05;0.0328;0.0772;0.472;154.814;185013;2;1;21firHs3loUdDk1fXPM1bT;11
0.599;0.948;-9.923;0.0476;0.00291;0.00151;0.0576;0.626;139.374;278307;9;0;1HvbGzyNAlohRQoOCknGaR;2
0.479;0.96;-9.551;0.0991;0.000148;4.62e-05;0.208;0.506;93.867;168600;6;0;5RU50TPTgtxJLFNunUS2p5;61
0.515;0.993;-5.357;0.105;0.000191;0.371;0.171;0.139;119.943;232387;1;0;5GPOecXhHwugx2BkIyoFDh;29
0.345;0.976;-5.437;0.181;0.00048;0.0658;0.074;0.0627;110.37;287667;2;1;6aeZ0eNf2U6TdmUHi3NNdP;29
0.257;0.99;-1.834;0.174;4.17e-05;0.193;0.107;0.0358;118.032;184507;8;0;01mexVwlEDtAbDUtdwwIYH;29
