danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo
0.534;0.969;-3.378;0.0535;0.000359;0.564;0.269;0.598;75.005
0.379;0.941;-10.443;0.038;0.000869;0.000637;0.0393;0.527;105.155
0.262;0.988;-4.939;0.117;1.63e-05;0.733;0.21;0.259;113.663
0.326;0.995;-4.38;0.147;9.41e-05;0.386;0.145;0.092;105.459
0.357;0.905;-7.787;0.0523;0.00395;0.000417;0.375;0.546;81.294
0.481;0.928;-8.799;0.0672;0.00022;0.558;0.106;0.427;96.699
0.365;0.978;-6.314;0.0698;0.00016;0.00241;0.206;0.108;101.886
0.519;0.982;-3.547;0.108;0.00203;0.00055;0.0971;0.361;97.745
0.43;0.704;-8.008;0.0804;0.000155;0.00221;0.0933;0.703;118.242
0.332;0.988;-4.111;0.146;7.65e-05;0.0126;0.055;0.097;98.878
0.419;0.996;-3.052;0.0713;1.36e-06;0.837;0.164;0.598;96.528
0.53;0.99;-4.676;0.084;0.000968;0.0259;0.0626;0.582;148.524
0.159;0.997;-5.872;0.162;5.62e-06;0.871;0.503;0.0867;121.696
0.39;0.967;-3.619;0.0625;4.45e-06;0.0591;0.608;0.416;177.041
0.324;0.977;-4.963;0.0913;3.24e-05;0.0101;0.0888;0.438;198.97
0.384;0.938;-3.735;0.0857;0.00147;0.00283;0.403;0.571;80.073
0.272;0.958;-10.797;0.381;0.00195;4.63e-05;0.0915;0.0382;136.867
0.231;0.988;-6.128;0.215;3.51e-05;0.248;0.0613;0.3;174.865
0.484;0.991;-4.028;0.0676;0.000289;0.657;0.359;0.559;167.035
0.48;0.997;-2.344;0.171;0.000139;0.00166;0.148;0.26;110.055
0.445;0.964;-5.493;0.282;0.037;0.0132;0.0773;0.448;140.817
0.318;0.963;-4.878;0.176;0.000182;0.387;0.344;0.358;102.225
0.374;0.984;-3.434;0.174;4.38e-05;0.448;0.124;0.171;175.001
0.262;0.988;-4.922;0.253;0.00655;0.897;0.132;0.227;91.319
0.265;0.941;-6.569;0.18;1.64e-05;0.0342;0.313;0.331;126.622
0.51;0.911;-5.048;0.0361;0.000276;0.072;0.138;0.558;140.053
0.278;0.973;-6.955;0.147;0.000314;0.00524;0.113;0.0401;109.772
0.329;0.989;-4.603;0.0941;0.00141;0.00471;0.0353;0.253;152.456
0.22;0.982;-3.912;0.121;5.85e-05;0.289;0.661;0.241;171.928
0.295;0.991;-3.082;0.1;1.7e-06;0.688;0.093;0.469;100.939
0.483;0.993;-3.244;0.122;0.000151;0.131;0.173;0.0653;104.018
0.23;0.996;-4.308;0.0878;0.108;0.927;0.129;0.0332;100.892
0.476;0.994;-3.19;0.175;0.000247;0.152;0.0793;0.126;92.865
0.24;0.906;-12.061;0.0505;0.00753;0.0157;0.112;0.259;100.525
0.415;0.908;-9.701;0.0765;0.00437;0.0345;0.082;0.437;114.816
0.248;0.988;-3.74;0.144;5.87e-05;0.84;0.323;0.149;115.301
0.358;0.804;-8.534;0.302;0.0404;0.0;0.111;0.625;91.842
0.267;0.982;-5.72;0.123;5.09e-06;0.712;0.147;0.228;142.271
0.424;0.989;-4.662;0.164;9.7e-06;0.576;0.105;0.185;179.997
0.55;0.977;-4.866;0.0597;1.72e-05;0.0761;0.262;0.359;104.974
0.255;0.904;-6.841;0.0968;7.01e-06;0.104;0.285;0.388;175.049
0.493;0.948;-5.75;0.0979;0.000122;0.0433;0.202;0.444;105.946
0.339;0.797;-14.833;0.0647;9.3e-05;0.202;0.0806;0.427;116.388
0.526;0.994;-4.676;0.189;0.000378;0.122;0.0898;0.142;96.002
0.339;0.991;-5.028;0.145;0.000249;0.00327;0.261;0.185;106.767
0.61;0.891;-5.452;0.0587;0.000805;0.0928;0.0657;0.51;139.903
0.419;0.878;-6.352;0.0553;0.000594;0.559;0.139;0.666;147.385
0.4;0.994;-7.34;0.0625;3.65e-05;0.097;0.145;0.253;104.134
0.307;0.934;-10.967;0.0995;8.11e-06;0.842;0.37;0.176;156.83
0.224;0.938;-6.907;0.408;0.00157;0.0765;0.106;0.327;203.79
0.504;0.856;-6.271;0.0423;0.000748;0.359;0.114;0.585;95.402
0.43;0.96;-5.08;0.0484;0.000121;0.0985;0.0915;0.421;129.7
0.302;0.805;-11.395;0.0967;0.000849;4.19e-06;0.151;0.578;112.766
0.552;0.986;-3.265;0.176;0.000112;0.888;0.314;0.328;104.032
0.187;0.914;-9.373;0.228;0.00019;0.426;0.285;0.225;195.604
0.128;0.991;-3.289;0.0582;1.11e-05;0.00362;0.219;0.53;186.124
0.234;0.995;-5.291;0.0775;0.00028;0.0333;0.103;0.297;187.941
0.182;0.96;-6.098;0.398;0.00015;7.52e-06;0.18;0.246;157.106
0.145;0.988;-3.131;0.0834;4.68e-06;0.00755;0.293;0.215;187.877
0.26;0.998;-2.844;0.16;0.000728;0.0187;0.141;0.447;194.788
0.548;0.972;-3.271;0.0491;1.38e-05;0.34;0.325;0.429;103.996
0.307;0.947;-6.429;0.0489;3.44e-05;0.931;0.152;0.276;140.902
0.395;0.995;-4.639;0.13;0.000251;0.0109;0.275;0.0459;105.694
0.486;0.971;-4.225;0.156;0.000788;0.00266;0.614;0.344;170.046
0.475;0.953;-6.951;0.15;0.000291;0.00338;0.104;0.232;118.033
0.406;0.98;-5.469;0.0889;5.5e-05;0.0501;0.255;0.469;173.026
0.32;0.967;-7.045;0.096;0.000404;4.32e-06;0.292;0.365;100.268
0.408;0.993;-5.386;0.213;4.12e-06;0.78;0.316;0.217;175.0
0.475;0.942;-4.287;0.139;0.00141;0.0797;0.0939;0.178;80.356
0.325;0.996;-2.95;0.096;1.99e-05;0.0389;0.186;0.354;120.013
0.175;0.969;-4.496;0.0877;0.000458;0.0853;0.0889;0.295;192.481
0.326;0.998;-3.095;0.0993;0.00205;5.14e-05;0.364;0.471;101.862
0.256;0.992;-4.505;0.136;8.41e-06;0.27;0.096;0.144;101.895
0.379;0.808;-8.605;0.0684;5.23e-05;0.794;0.322;0.557;138.694
0.285;0.977;-4.443;0.195;3.19e-05;0.0328;0.0772;0.472;154.814
0.599;0.948;-9.923;0.0476;0.00291;0.00151;0.0576;0.626;139.374
0.479;0.96;-9.551;0.0991;0.000148;4.62e-05;0.208;0.506;93.867
0.515;0.993;-5.357;0.105;0.000191;0.371;0.171;0.139;119.943
0.345;0.976;-5.437;0.181;0.00048;0.0658;0.074;0.0627;110.37
0.257;0.99;-1.834;0.174;4.17e-05;0.193;0.107;0.0358;118.032
0.475;0.969;-4.283;0.0919;0.000251;0.374;0.0878;0.297;163.083
0.319;0.99;-5.133;0.124;3.5e-05;0.0357;0.254;0.206;105.551
0.382;0.946;-5.157;0.159;0.00118;0.17;0.635;0.283;102.099
0.371;0.965;-6.059;0.108;5.25e-05;0.245;0.125;0.206;174.964
0.241;0.978;-3.172;0.151;0.0339;0.891;0.115;0.292;79.693
0.329;0.885;-10.661;0.0904;0.0242;0.00433;0.735;0.481;163.538
0.505;0.953;-5.928;0.0538;1.03e-05;0.327;0.0737;0.545;133.036
0.354;0.994;-4.254;0.151;3.38e-05;0.000701;0.0746;0.0761;203.921
0.335;0.869;-4.479;0.0441;0.000806;0.00058;0.177;0.167;148.807
0.255;0.98;-7.273;0.0983;2.19e-05;0.597;0.0705;0.14;137.968
0.381;0.962;-6.96;0.213;0.00601;0.0434;0.311;0.287;99.339
0.479;0.762;-10.998;0.0523;8.61e-05;0.03;0.15;0.457;91.831
0.56;0.982;-3.53;0.145;1.19e-05;0.157;0.199;0.29;112.528
0.515;0.805;-8.593;0.0423;7.58e-05;0.545;0.105;0.713;124.505
0.325;0.985;-3.941;0.151;0.00177;0.107;0.351;0.221;125.307
