;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;key;mode;id
0;0.633;0.764;-7.212;0.323;0.32;3.4e-06;0.234;0.522;94.971;228173;0;1;0B8drtTSp68pZdkmVrG9ZA
1;0.809;0.643;-8.007;0.306;0.167;3.54e-06;0.183;0.578;112.793;198523;5;0;5b3CrWCsJ46XjC5VwdKpvb
2;0.61;0.716;-6.578;0.239;0.0478;0.0;0.604;0.32;91.143;213996;2;1;0xDYx6D03e5cIVU2o6Wh64
3;0.883;0.415;-8.571;0.174;0.35;0.0;0.063;0.318;76.986;155867;6;0;06ioYJ99HHjzRk8HrGfkKS
4;0.676;0.609;-6.743;0.378;0.308;8.23e-05;0.174;0.457;180.095;203333;8;1;0D9KaWNXMzaDDDsVUBKoa6
5;0.88;0.443;-6.359;0.0653;0.462;7.13e-06;0.122;0.803;138.018;221240;11;0;60PAzFNW3vAiAiVK6DRJfB
6;0.604;0.666;-6.505;0.372;0.544;0.0;0.128;0.683;93.542;297668;4;1;65dO13qYabE4LDdQmjU4p6
7;0.756;0.867;-3.626;0.162;0.155;0.00285;0.33;0.666;129.983;156780;7;1;22WV03i2lBbwNVCE1g671p
8;0.396;0.549;-6.601;0.291;0.321;0.0;0.113;0.373;63.67;354331;10;0;3IH1yNwtgIqZkRVKJyqfzT
9;0.655;0.881;-3.531;0.431;0.626;0.0;0.125;0.651;92.118;315103;5;0;5E4mQ2mXblbeuI4tefnMZG
10;0.492;0.863;-6.468;0.0411;8.09e-05;2.53e-06;0.0892;0.753;110.393;218859;3;1;2DHbTuE0AQ38tNW74iQTlX
11;0.568;0.873;-5.22;0.265;0.0731;0.0;0.367;0.547;106.783;209093;1;1;6BvtitRX5lQC87YlA6rq0n
12;0.723;0.852;-6.866;0.237;0.0135;0.0;0.14;0.866;94.021;224973;1;0;40hvd4WEYCt7b159VJEg12
13;0.508;0.785;-4.681;0.179;0.28;0.0;0.133;0.66;103.018;216867;8;1;7hKTUJwe0x6c95H5IY0rsl
14;0.466;0.92;-7.237;0.0396;2.5e-06;0.0;0.175;0.603;135.387;151720;3;0;3Ewzp0gOSrLGzzGa3q0cp8
15;0.647;0.756;-6.323;0.0897;0.244;1.86e-05;0.053;0.293;110.069;358583;11;0;2PUFXnRUt6u8UPk4lKtPog
16;0.881;0.734;-5.909;0.246;0.546;0.000307;0.113;0.719;120.006;213000;4;0;6wHFz4yXvfHCwU4491pWLj
17;0.678;0.695;-5.323;0.286;0.0485;0.0;0.254;0.242;135.044;229387;10;0;1OS9fNE87zO4Z696lBXriv
18;0.825;0.47;-5.509;0.136;0.274;0.0;0.0983;0.321;119.986;156000;1;1;6G2dKk2F6C05JUwqj8OXkZ
19;0.852;0.73;-5.803;0.0579;0.0219;0.0;0.336;0.394;92.506;157693;1;1;7f1zjZG77S891Uv4O68yfk
20;0.389;0.613;-8.289;0.399;0.283;0.0;0.12;0.449;70.178;186168;1;1;4MwhUpDkOOb4UU7BtKznlu
21;0.771;0.536;-8.534;0.323;0.553;1.05e-06;0.294;0.343;94.995;269721;11;1;52A8OAP8lTQKZCj4Rce92B
22;0.583;0.625;-8.011;0.277;0.506;0.0;0.196;0.516;89.812;266291;1;1;0GAyuCo975IHGxxiLKDufB
23;0.642;0.647;-6.312;0.428;0.517;0.0;0.0649;0.664;120.749;217867;7;0;5WnfnSpuNEGXyEt78PBA6d
24;0.509;0.749;-5.539;0.0446;0.0282;4.23e-05;0.0699;0.317;102.032;254845;5;0;784cOHZz9sPUx1DkWqA2GB
25;0.66;0.628;-10.482;0.167;0.00996;1.96e-05;0.178;0.318;86.029;250887;2;1;7h4xKwEnqt9TRAAS3Mjnj2
26;0.784;0.586;-3.417;0.187;0.00558;0.000286;0.106;0.656;132.169;171818;1;1;0wY9rA9fJkuESyYm9uzVK5
27;0.761;0.552;-5.824;0.301;0.275;0.0;0.19;0.483;96.054;226792;1;1;4YjnsXPnDCLRHOoGJpFMJX
28;0.603;0.918;-6.652;0.0641;0.216;0.146;0.284;0.452;102.473;233639;4;0;3VIJBrMpvimHEw5wtPh2wB
29;0.484;0.731;-6.694;0.0379;0.431;0.0;0.151;0.51;101.654;204280;1;1;7yq4Qj7cqayVTp3FF9CWbm
30;0.584;0.684;-4.314;0.567;0.312;9.05e-05;0.112;0.72;210.164;213573;10;0;3NRql0A1Ef4RCvT473iqgD
31;0.84;0.504;-9.354;0.383;0.546;0.00131;0.211;0.406;110.027;268667;1;1;1mvDFqbbmgmMmU6U4dIq5m
32;0.466;0.741;-5.65;0.237;0.0253;0.0;0.298;0.369;83.192;277200;0;1;6WouUO5WEg0ncfGn6dkB4I
33;0.855;0.478;-8.698;0.107;0.0684;0.0;0.111;0.355;135.987;209118;1;1;4w7lBzX0EcDuy8tQLQvjC2
34;0.762;0.807;-5.573;0.292;0.0539;0.0;0.105;0.711;91.107;150819;10;0;7hZoTr4ffMGqm9opMiGmBp
35;0.677;0.353;-9.082;0.19;0.0511;0.0649;0.108;0.538;101.996;199382;7;0;0lsBZvE7PBJrOEc0GEnsbv
36;0.482;0.841;-2.622;0.0607;0.0809;0.0;0.214;0.424;129.818;183231;9;1;4jKeYH0Gwq2PE3YYSClzM9
37;0.754;0.651;-6.59;0.274;0.0705;0.000916;0.0765;0.792;81.888;175909;10;0;29gwBRkgJYKVQMjJI3ge2l
38;0.379;0.561;-6.451;0.0608;0.481;0.0113;0.11;0.148;189.542;197847;9;1;4keHa1UN3c9OWHVv3BE5ra
39;0.885;0.476;-10.176;0.0495;0.655;0.0216;0.101;0.747;127.814;300507;0;1;79dEpsju5GyrrVsy676EVw
40;0.558;0.814;-6.137;0.0757;0.177;0.0;0.185;0.745;160.977;215404;8;1;3oJcjNXrTkylFswnGLSieM
41;0.387;0.59;-6.992;0.0651;0.559;0.0152;0.642;0.219;84.482;229909;10;1;6RTETZeP7K529JGbKbUZK2
42;0.286;0.495;-7.716;0.0371;0.261;0.715;0.117;0.147;51.684;104704;0;1;64QM0cb9rdn78CsAxrswjp
43;0.837;0.636;-7.643;0.086;0.0395;0.00125;0.342;0.274;145.972;288624;1;1;2t8yVaLvJ0RenpXUIAC52d
44;0.607;0.48;-7.833;0.635;0.451;0.0;0.357;0.142;171.332;152973;9;1;2pQUmVMJiuGx3Dh0daDcJz
45;0.753;0.617;-10.076;0.538;0.551;3.1e-05;0.108;0.202;82.481;104629;3;1;5NfFiV4oneo16S2Hpt7WqE
